lat,lon
43.76942234,-84.02230318
43.76917175,-84.02222033
43.76892491,-84.02213003
43.76868639,-84.02204633
43.76845168,-84.02196871
43.76821096,-84.02188326
43.7679725,-84.02180937
43.76773211,-84.02172464
43.76749616,-84.02162839
43.76724668,-84.02155144
43.76700561,-84.02148687
43.76674493,-84.02139412
43.76650026,-84.02129748
43.76624757,-84.02120258
43.7660043,-84.02111259
43.76574301,-84.02102486
43.76548376,-84.0209497
43.76522308,-84.0208599
43.76496356,-84.02077705
43.76470643,-84.02069144
43.76444323,-84.02059883
43.76418785,-84.02051315
43.76392505,-84.02041725
43.76366481,-84.02032162
43.7634163,-84.0202337
43.763164,-84.02014697
43.76291975,-84.02005327
43.76266991,-84.01996852
43.76241876,-84.01987587
43.76216666,-84.01978876
43.76192088,-84.01971426
43.76167078,-84.01962332
43.76141904,-84.01953283
43.7611735,-84.01943597
43.76091358,-84.01934549
43.76065298,-84.01925474
43.76042263,-84.01917985
43.76016632,-84.01909966
43.75993586,-84.01902337
43.75968807,-84.01893595
43.75945883,-84.01886279
43.75918984,-84.01877064
43.75894535,-84.01869753
43.75866918,-84.01860288
43.75839847,-84.0185184
43.75813849,-84.01843306
43.75787181,-84.01834935
43.75762214,-84.01827133
43.75735272,-84.0181908
43.75709328,-84.01811819
43.75682056,-84.0180434
43.75654454,-84.01798474
43.7562791,-84.01792114
43.75601013,-84.0178636
43.75574929,-84.01779755
43.75548204,-84.01774974
43.75521117,-84.01770897
43.75494818,-84.01766557
43.75468964,-84.01762949
43.75442919,-84.01758616
43.7541666,-84.01755741
43.75389726,-84.01752246
43.75362877,-84.01749801
43.75335646,-84.01746951
43.75309079,-84.01744276
43.75282067,-84.01741963
43.75255513,-84.01739957
43.75229081,-84.0173709
43.75202819,-84.01736673
43.75177394,-84.01735061
43.75151391,-84.01734754
43.75125628,-84.01735395
43.75102263,-84.01738257
43.75076993,-84.01738835
43.7505108,-84.0173856
43.75024097,-84.01736095
